country,0
World,8860000
High income,6570000
Europe,5140000
European Union,3450000
North America,1930000
United States,1790000
Upper middle income,1570000
Asia,1090000
United Kingdom,900000
France,710000
Lower middle income,690000
Germany,610000
Africa,450000
Russia,410000
Poland,290000
South Africa,280000
Italy,280000
Turkey,270000
Spain,260000
South America,230000
Vietnam,230000
Netherlands,220000
Belgium,170000
Czechia,160000
Switzerland,140000
Ukraine,120000
India,110000
Denmark,108163
Slovakia,100000
South Korea,93056
Hungary,90000
Brazil,70000
Canada,70000
Norway,65976
Jordan,64044
Greece,63779
Ireland,62350
Portugal,60000
Malaysia,60000
Zimbabwe,52627
Argentina,50000
Austria,50000
Croatia,44326
Georgia,43867
Thailand,40000
Low income,40000
Sweden,40000
Iran,40000
Oceania,37541
Australia,35561
Peru,30000
Mexico,30000
Colombia,30000
Lithuania,22506
Lebanon,22142
Finland,22092
Bulgaria,21633
Bolivia,21357
Belarus,20815
Serbia,20000
Chile,20000
Laos,18739
Slovenia,18498
Azerbaijan,13930
Eswatini,12532
Egypt,12168
Sri Lanka,12003
Trinidad and Tobago,10288
Israel,10000
Philippines,10000
Kazakhstan,10000
Romania,10000
Iraq,9999
Latvia,9810
Ecuador,9259
Nigeria,8861
Namibia,8388
Cyprus,8329
Kenya,8270
Mozambique,7980
Estonia,7127
Bosnia and Herzegovina,7044
Libya,6760
Singapore,6699
Venezuela,6644
Zambia,6196
Democratic Republic of Congo,6129
Moldova,5944
Luxembourg,5334
Botswana,4562
Ethiopia,4160
Albania,4047
Panama,4010
North Macedonia,3984
Guatemala,3879
Myanmar,3846
Lesotho,3690
Palestine,3627
Uruguay,3535
Mongolia,3434
Dominican Republic,3205
Nepal,3144
Algeria,3123
Armenia,2913
Malawi,2760
Uzbekistan,2741
Tunisia,2588
Andorra,2539
Montenegro,2529
Madagascar,2495
Qatar,2314
Morocco,2223
Malta,1919
Iceland,1899
United Arab Emirates,1809
Maldives,1746
El Salvador,1727
Sudan,1623
Uganda,1406
Mali,1391
China,1183
Isle of Man,1171
Rwanda,1168
New Zealand,1164
Costa Rica,1155
Syria,1132
Barbados,1074
Cuba,1007
Ghana,991
Burundi,983
Saudi Arabia,930
Mauritius,875
San Marino,859
Paraguay,836
Faeroe Islands,819
Liechtenstein,768
Guyana,710
Angola,679
Burkina Faso,672
Bahrain,668
Kuwait,607
Kyrgyzstan,580
Cayman Islands,568
Belize,566
Jamaica,549
Mauritania,525
Monaco,521
Cameroon,514
South Sudan,505
Papua New Guinea,466
Gibraltar,451
Seychelles,448
Honduras,434
Haiti,410
Suriname,407
Greenland,387
Togo,374
Aruba,357
Afghanistan,333
Eritrea,305
Curacao,285
Gabon,266
Cote d'Ivoire,253
New Caledonia,250
Oman,240
Central African Republic,219
Brunei,216
Tanzania,213
Congo,209
Dominica,200
Anguilla,178
Bahamas,170
Bonaire Sint Eustatius and Saba,164
Cambodia,160
Taiwan,153
Cape Verde,139
Nicaragua,137
Senegal,137
Saint Vincent and the Grenadines,135
Kosovo,127
Niger,119
Somalia,118
Saint Lucia,115
Comoros,107
Sierra Leone,103
Fiji,80
British Virgin Islands,77
Yemen,76
Hong Kong,65
Bermuda,64
Turks and Caicos Islands,60
Gambia,59
Antigua and Barbuda,51
Benin,44
Guinea,44
Djibouti,27
Liberia,20
French Polynesia,19
Equatorial Guinea,19
Bhutan,16
Guinea-Bissau,12
Saint Kitts and Nevis,11
Grenada,11
Saint Pierre and Miquelon,10
Timor,5
Sao Tome and Principe,2
Vanuatu,1
Wallis and Futuna,0
Falkland Islands,0
Indonesia,0
Vatican,0
Palau,0
International,0
Tonga,0
Japan,0
Tajikistan,0
Kiribati,0
Bangladesh,0
Pakistan,0
Solomon Islands,0
Macao,0
Marshall Islands,0
Micronesia (country),0
Montserrat,0
Chad,0
Samoa,0
Saint Helena,0
Cook Islands,0
